nama_destinasi,username,komentar,rating,tanggal
Ramayana Ballet Prambanan,Dewi Riesna Dinawaty,"Wajib banget ditonton, dramanya cantik, bagus, pemandangan prambanan dimalam hari juga cNtik bangetttttt","5,0
/5",15 May 2024
Ramayana Ballet Prambanan,FA,Sangat menyenangkan sekali,"5,0
/5",13 May 2024
Ramayana Ballet Prambanan,SS,pertunjukan yang luar biasa,"5,0
/5",13 May 2024
Ramayana Ballet Prambanan,LL,"Pengalaman menarik, tempat seru","5,0
/5",7 May 2024
Ramayana Ballet Prambanan,YS,Pertunjukan yang sangat seru.,"5,0
/5",7 May 2024
Ramayana Ballet Prambanan,Anna,it was extremely nice show! before the show you can buy a dinner at the restaurant nearby and spend the whole evening in the front of the temple. highly recommended,"5,0
/5",7 Feb 2024
Ramayana Ballet Prambanan,Deviani Aprianti Yusuf,Bagus durasi lama seneng deh,"5,0
/5",8 Jan 2024
Ramayana Ballet Prambanan,Nadhira Azman,"A local theatre performance is a once in a lifetime experience. Best if you could watch it in their outdoor setting (depends on season). We went in dec, indoor performance was still good enough. Redee...","5,0
/5",4 Jan 2024
Ramayana Ballet Prambanan,PP,"Ternyata gak bisa pilih seat ya kalau booknya dari Tiket. Dan aku gak terlalu awal datangnya, jadi dapat seat di baris ketiga☹️ dannn selama acara berlangsung ada sekitar 5 bangku kosong di baris 2. S...","5,0
/5",27 Dec 2023
Ramayana Ballet Prambanan,Fakhira Hanna Safira Fidaus,"Bagus banget ampun, magical show bener bener terhipnotis sama penampilan penari, pengiring gamelan, tata lampu keren abizzz.","5,0
/5",24 Dec 2023
Ramayana Ballet Prambanan,Fransiska Magdalena Sitanggang,Suoer keren.. Indoor aja bagus. Apalagi pentas outdoor. Tidak pernah bosan dengan acara ini.. Tamu2 sayapun selalu menikmati pementasan dan bilang akan melihat episode2 dilain waktu. Trimakasih..,"5,0
/5",21 Dec 2023
Ramayana Ballet Prambanan,JK,Beautiful performance by talented people. Suggest to go watch their shows when visiting Jogjakarta and during the dry season so you can watch outdoors and get a view of the Prambanan background. I was...,"5,0
/5",13 Dec 2023
Ramayana Ballet Prambanan,Shinta Cahaya Wati,Menakjubkan banget ga sia2 kelas khusus,"5,0
/5",7 Dec 2023
Ramayana Ballet Prambanan,Kerry Nurrakhman,"Amazing view, amazing place and amazing show","5,0
/5",29 Nov 2023
Ramayana Ballet Prambanan,Kurniawati Dewi Harsono,Teater seperti ini harus banyak diadakan. Keren sekali. Terima kasih,"5,0
/5",24 Nov 2023
Ramayana Ballet Prambanan,Mohammad Gilang Stansyach,Bagusss banget acara nya,"5,0
/5",23 Nov 2023
Ramayana Ballet Prambanan,HT,Kereeen tapi kurang penerangan di parkirannya sampe saya jatuh 😂,"5,0
/5",22 Nov 2023
Ramayana Ballet Prambanan,Nurul Fitriani Rahayu,Keren penampilannya. Sukaaa,"5,0
/5",20 Nov 2023
Ramayana Ballet Prambanan,Adelliawati Noerhalim,Mantab. Experience baruu,"5,0
/5",19 Nov 2023
Ramayana Ballet Prambanan,MICHELLE ANGELA TIARA ROTTY,seru banget bisa menikmati sendratari!,"5,0
/5",18 Nov 2023
Ramayana Ballet Prambanan,Ming Xiu,performance was 1.5 hours with a short intermission break. the star of the show was the monkey performer as his dance move was the most dynamic. would need to read the synopsis of the show before the ...,"5,0
/5",28 Oct 2023
Ramayana Ballet Prambanan,ES,Love Indonesia ga pernah bosan,"5,0
/5",24 Oct 2023
Ramayana Ballet Prambanan,Arsha Khila,Pengalaman yang seruu sekali,"5,0
/5",10 Oct 2023
Ramayana Ballet Prambanan,AP,Sehr schöne Anziehung und Tanz. Alles ganz besonders,"5,0
/5",7 Oct 2023
Ramayana Ballet Prambanan,IR,Keren banget pertunjukanya,"5,0
/5",5 Oct 2023
Ramayana Ballet Prambanan,RS,Very recommended. Panggung open air dengan view cantik candi prambanan di malam hari. Layak untuk di ulang. Saya sendiri sudah menonton pertunjukan ini 3x,"5,0
/5",29 Sep 2023
Ramayana Ballet Prambanan,KL,"Baguusss, seru. View background candi prambanannya cantik bgttt","5,0
/5",27 Sep 2023
Ramayana Ballet Prambanan,AW,Great! 🥰 pasti bakal berkunjung lagi deh,"5,0
/5",23 Sep 2023
Ramayana Ballet Prambanan,ID,"Keren banget.. durasinya lumayan lama dan kmrn beli tiket di kelas khusus dapet view nya pas bgt, free minuman juga hehe..","5,0
/5",13 Sep 2023
Ramayana Ballet Prambanan,AS,bagus sekali dengan latar prambanan yang indah,"5,0
/5",12 Sep 2023
Ramayana Ballet Prambanan,Avinash Sharma,"Excellent show, specially Lanka Dahan","5,0
/5",10 Sep 2023
Ramayana Ballet Prambanan,JM,"Simply amazing, the dancers, the costumes, the venue...","5,0
/5",7 Sep 2023
Ramayana Ballet Prambanan,Liana Anggraeni,Pengalaman pertama nonton theater outdoor dan belakangnya langsung candi prambanan 💗,"5,0
/5",7 Sep 2023
Ramayana Ballet Prambanan,WW,Bagus bgtt!!! Kerennn worth to watch dehhh,"5,0
/5",3 Sep 2023
Ramayana Ballet Prambanan,Febby Desy Lia,"Kereeenn🔥, pertunjukkan yang sangat bagusss","5,0
/5",31 Aug 2023
Ramayana Ballet Prambanan,Frandika Christianto,hrus ntn inii sumpaah,"5,0
/5",30 Aug 2023
Ramayana Ballet Prambanan,Rizky Dea Safitri,Nice price nice view nice experience,"5,0
/5",23 Aug 2023
Ramayana Ballet Prambanan,AP,Bagus banget! Akan kembali lagi untuk nonton di seat tengah,"5,0
/5",23 Aug 2023
Ramayana Ballet Prambanan,Kalyana Candra,Kerennnn!!! Kebetulan kesini pas 17 Agustus dan menang jadi best costume,"5,0
/5",22 Aug 2023
Ramayana Ballet Prambanan,Salsabila Dinda Putri,Spektakuler! Watch-worthy at least once 🫶🏻✨,"5,0
/5",20 Aug 2023
Ramayana Ballet Prambanan,SV,Life changing experience!,"5,0
/5",20 Aug 2023
Ramayana Ballet Prambanan,CM,Sekeren itu ! Wajib nonton sih,"5,0
/5",16 Aug 2023
Ramayana Ballet Prambanan,Levita Dharma Sukmawati,Keren bangettt. Datang pas bertepatan purnama makin keren. Wajib nonton klo ke Jogja.,"5,0
/5",13 Aug 2023
Ramayana Ballet Prambanan,RK,fantastic performance at a magical location!,"5,0
/5",12 Aug 2023
Ramayana Ballet Prambanan,EN,"Unforgettable experience! Mulai dari kostum, akting, tata panggung, pencahayaan, sampe detil tarian nya super cool buat orang awam kayak saya! Ditambah majestic view dari candi prambanan yang kalo mal...","5,0
/5",7 Aug 2023
Ramayana Ballet Prambanan,Hosnul Hotimah,great performance!!!!,"5,0
/5",30 Jul 2023
Ramayana Ballet Prambanan,RC,Okkk keren banget sangat worth it,"5,0
/5",26 Jul 2023
Ramayana Ballet Prambanan,Sentot Lasiyanto,"Keren, keluarga suka dan enjoy dengan tadiannya","5,0
/5",21 Jul 2023
Ramayana Ballet Prambanan,Iyang Apendi,Terimakasih atas pertunjukannya. Keren banget,"5,0
/5",19 Jul 2023
Ramayana Ballet Prambanan,Yuda Mulyadi Melody,"Without dialogue, but I'm so enjoy it.","5,0
/5",19 Jul 2023
Ramayana Ballet Prambanan,AD,"Seru banget, dari kemarin pingin nonton ini karna liat di tiktok dan ternyata emg bagus bgt bgt","5,0
/5",17 Jul 2023
Ramayana Ballet Prambanan,AA,"view malem nya okehh bgtt, kebetulan beli yg outdoor jg jadi kece bgt kebagian yang ada api api nya jg seruu poll💥💥","5,0
/5",12 Jul 2023
Ramayana Ballet Prambanan,Ayesha Ryzka,Kereeen banget.. Legendary,"5,0
/5",6 Jul 2023
Ramayana Ballet Prambanan,Fadila Amelia,Keren banget. Dan terkagum2. Ya Allah sampe gk bisa berkata2. KEREEEENNNN BANGET!!!!,"5,0
/5",5 Jul 2023
Ramayana Ballet Prambanan,RS,Pertunjukannya keren walaupun agak kurang khidmat karena berbarengan malam takbiran iduladha,"5,0
/5",4 Jul 2023
Ramayana Ballet Prambanan,Dwiyankie Pangestu,super nice show and really worth it,"5,0
/5",30 Jun 2023
Ramayana Ballet Prambanan,Suhita Pitaloka,"Memuaskan, pertunjukannya epic, cocok untuk wisata keluarga.","5,0
/5",29 Jun 2023
Ramayana Ballet Prambanan,SF,"Bagus sekali, seperti kurang kalo hanya lihat 1x,anak anak jga senang, semoga dapat datang kesini lagi😊","5,0
/5",28 Jun 2023
Ramayana Ballet Prambanan,Firman Aulia,Pertunjukan yg sangat menarik. Dengan cerita bagus,"5,0
/5",27 Jun 2023
Ramayana Ballet Prambanan,AS,"Asik, seru, nyaman dari awal masuk sampai selesai, dalam pagelaran suasana hati terbawa dalam alur cerita. Terimakasih","5,0
/5",25 Jun 2023
Ramayana Ballet Prambanan,ERU KARYAWANTO,Sendratari Ramayana di Prambanan,"5,0
/5",18 Jun 2023
Ramayana Ballet Prambanan,YK,"Oke, Proses redeem mudah, pertunjukan oke","5,0
/5",13 Jun 2023
Ramayana Ballet Prambanan,Fandy Akbar Pradana Putra,Really good performance Keep Support local culture,"5,0
/5",6 Jun 2023
Ramayana Ballet Prambanan,Siti Koriyah,"bagussss banget asli, lebih mengenal budaya di indonesia","5,0
/5",28 May 2023
Ramayana Ballet Prambanan,Inmas Yomi,Keren. Luar biasa. Menikmati sendratari ramayana (Cerita Anoman Obong) dengan vie langsung candi prambanan,"5,0
/5",25 May 2023
Ramayana Ballet Prambanan,Abigail Alfa Putri Prasetyan,Bagus banget! Wajib dikunjungi utk yg butuh hiburan di jogja,"5,0
/5",12 May 2023
Ramayana Ballet Prambanan,NK,it was really fun and amazing performance 🤩🙌🏻,"5,0
/5",7 May 2023
Ramayana Ballet Prambanan,Syahrul Ramadhan,Bagus penampilannya cuma pas sesi kedua hujan,"5,0
/5",4 May 2023
Ramayana Ballet Prambanan,Herlina Anggi,Seru banget pokonya nambah pengalaman,"5,0
/5",29 Apr 2023
Ramayana Ballet Prambanan,Irene,"an enjoyable performance. ticket comes with a free drink of coffee, tea or mineral water. there's a 10 mins interval in between.","5,0
/5",17 Mar 2023
